RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        36300     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   25   26     0     0  con    0  1.0D+00  2.8D+00  4.576D-01  5.911D+03
   26   27     0     0  con    0  1.0D+00  4.3D+00  5.707D-01  5.902D+03
   27   28     0     0  con    0  1.0D+00  3.9D+00  6.100D-01  5.895D+03
   28   29     0     0  con    0  1.0D+00  2.6D+00  4.997D-01  5.889D+03
   29   30     0     0  con    0  1.0D+00  4.0D+00  4.881D-01  5.880D+03
   30   31     0     0  con    0  1.0D+00  3.9D+00  6.795D-01  5.874D+03
   31   32     0     0  con    0  1.0D+00  1.8D+00  4.749D-01  5.868D+03
   32   33     0     0  con    0  1.0D+00  2.5D+00  7.831D-01  5.862D+03
   33   34     0     0  con    0  1.0D+00  1.9D+00  7.429D-01  5.857D+03
   34   35     0     0  con    0  1.0D+00  2.5D+00  6.653D-01  5.852D+03
   35   36     0     0  con    0  1.0D+00  2.9D+00  4.401D-01  5.846D+03
   36   37     0     0  con    0  1.0D+00  3.1D+00  5.809D-01  5.841D+03
   37   38     0     0  con    0  1.0D+00  3.6D+00  5.385D-01  5.835D+03
   38   39     0     0  con    0  1.0D+00  3.2D+00  5.067D-01  5.829D+03
   39   40     0     0  con    0  1.0D+00  2.8D+00  5.114D-01  5.824D+03
   40   41     0     0  con    0  1.0D+00  2.4D+00  4.624D-01  5.819D+03
   41   42     0     0  con    0  1.0D+00  2.2D+00  4.017D-01  5.815D+03
   42   43     0     0  con    0  1.0D+00  2.4D+00  4.513D-01  5.810D+03
   43   44     0     0  con    0  1.0D+00  2.5D+00  4.414D-01  5.805D+03
   44   45     0     0  con    0  1.0D+00  2.4D+00  3.812D-01  5.801D+03
   45   46     0     0  con    0  1.0D+00  3.0D+00  3.796D-01  5.796D+03
   46   47     0     0  con    0  1.0D+00  3.4D+00  5.467D-01  5.792D+03
   47   48     0     0  con    0  1.0D+00  2.4D+00  3.558D-01  5.787D+03
   48   49     0     0  con    0  1.0D+00  2.5D+00  3.994D-01  5.782D+03
   49   50     0     0  con    0  1.0D+00  2.1D+00  4.197D-01  5.778D+03
   50   51     0     0  con    0  1.0D+00  1.8D+00  3.888D-01  5.775D+03
   51   52     0     0  con    0  1.0D+00  2.2D+00  3.403D-01  5.771D+03
   52   53     0     0  con    0  1.0D+00  2.4D+00  3.714D-01  5.767D+03
   53   54     0     0  con    0  1.0D+00  2.1D+00  3.224D-01  5.763D+03
   54   55     0     0  con    0  1.0D+00  2.5D+00  3.626D-01  5.760D+03
   55   56     0     0  con    0  1.0D+00  2.0D+00  4.767D-01  5.756D+03
   56   57     0     0  con    0  1.0D+00  1.3D+00  4.571D-01  5.753D+03
   57   58     0     0  con    0  1.0D+00  2.7D+00  4.201D-01  5.749D+03
   58   59     0     0  con    0  1.0D+00  2.1D+00  3.621D-01  5.746D+03
   59   60     0     0  con    0  1.0D+00  1.2D+00  3.470D-01  5.744D+03
   60   61     0     0  con    0  1.0D+00  2.9D+00  4.508D-01  5.740D+03
   61   62     0     0  con    0  1.0D+00  2.3D+00  3.802D-01  5.737D+03
   62   63     0     0  con    0  1.0D+00  2.0D+00  2.750D-01  5.734D+03
   63   64     0     0  con    0  1.0D+00  2.8D+00  4.240D-01  5.731D+03
   64   65     0     0  con    0  1.0D+00  2.7D+00  4.195D-01  5.728D+03
   65   66     0     0  con    0  1.0D+00  1.4D+00  4.077D-01  5.725D+03
   66   67     0     0  con    0  1.0D+00  2.3D+00  2.955D-01  5.722D+03
   67   68     0     0  con    0  1.0D+00  2.1D+00  3.261D-01  5.719D+03
   68   69     0     0  con    0  1.0D+00  1.8D+00  2.330D-01  5.717D+03
   69   70     0     0  con    0  1.0D+00  2.7D+00  2.895D-01  5.714D+03
   70   71     0     0  con    0  1.0D+00  2.9D+00  4.103D-01  5.711D+03
   71   72     0     0  con    0  1.0D+00  2.2D+00  2.732D-01  5.708D+03
   72   73     0     0  con    0  1.0D+00  2.4D+00  2.273D-01  5.705D+03
   73   74     0     0  con    0  1.0D+00  2.4D+00  2.879D-01  5.703D+03
   74   75     0     0  con    0  1.0D+00  1.9D+00  3.095D-01  5.700D+03
   75   76     0     0  con    0  1.0D+00  1.8D+00  2.553D-01  5.698D+03
   76   77     0     0  con    0  1.0D+00  2.7D+00  2.504D-01  5.695D+03
   77   78     0     0  con    0  1.0D+00  2.2D+00  3.364D-01  5.693D+03
   78   79     0     0  con    0  1.0D+00  1.8D+00  2.803D-01  5.690D+03
   79   80     0     0  con    0  1.0D+00  2.9D+00  2.441D-01  5.688D+03
   80   81     0     0  con    0  1.0D+00  1.6D+00  2.493D-01  5.685D+03
   81   82     0     0  con    0  1.0D+00  1.4D+00  2.146D-01  5.683D+03
   82   83     0     0  con    0  1.0D+00  2.4D+00  2.533D-01  5.681D+03
   83   84     0     0  con    0  1.0D+00  2.0D+00  2.654D-01  5.679D+03
   84   85     0     0  con    0  1.0D+00  1.6D+00  2.178D-01  5.676D+03
   85   86     0     0  con    0  1.0D+00  1.9D+00  2.124D-01  5.674D+03
   86   87     0     0  con    0  1.0D+00  1.4D+00  2.630D-01  5.673D+03
   87   88     0     0  con    0  1.0D+00  1.4D+00  2.136D-01  5.671D+03
   88   89     0     0  con    0  1.0D+00  1.4D+00  2.317D-01  5.669D+03
   89   90     0     0  con    0  1.0D+00  1.7D+00  2.231D-01  5.668D+03
   90   91     0     0  con    0  1.0D+00  1.6D+00  2.523D-01  5.666D+03
   91   92     0     0  con    0  1.0D+00  1.6D+00  2.231D-01  5.664D+03
   92   93     0     0  con    0  1.0D+00  1.6D+00  2.130D-01  5.663D+03
   93   94     0     0  con    0  1.0D+00  1.4D+00  2.098D-01  5.661D+03
   94   95     0     0  con    0  1.0D+00  1.4D+00  1.783D-01  5.660D+03
   95   96     0     0  con    0  1.0D+00  1.5D+00  2.109D-01  5.658D+03
   96   97     0     0  con    0  1.0D+00  1.2D+00  1.856D-01  5.657D+03
   97   98     0     0  con    0  1.0D+00  1.2D+00  2.307D-01  5.655D+03
   98   99     0     0  con    0  1.0D+00  1.6D+00  2.142D-01  5.654D+03
   99  100     0     0  con    0  1.0D+00  1.3D+00  2.313D-01  5.653D+03
  100  101     0     0  con    0  1.0D+00  1.2D+00  2.329D-01  5.651D+03
  101  102     0     0  con    0  1.0D+00  1.5D+00  2.281D-01  5.650D+03
  102  103     0     0  con    0  1.0D+00  1.0D+00  2.052D-01  5.649D+03

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

