RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        25600     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   34   35     0     0  con    0  1.0D+00  1.1D+00  3.765D+02  3.512D+05
   35   36     0     0  con    0  1.0D+00  2.0D+00  3.580D+02  3.508D+05
   36   37     0     0  con    0  1.0D+00  1.4D+00  3.705D+02  3.504D+05
   37   38     0     0  con    0  1.0D+00  2.4D+00  3.481D+02  3.498D+05
   38   39     0     0  con    0  1.0D+00  2.9D+00  5.636D+02  3.495D+05
   39   40     0     0  con    0  1.0D+00  5.7D-01  3.563D+02  3.492D+05
   40   41     0     0  con    0  1.0D+00  7.2D-01  5.549D+02  3.488D+05
   41   42     0     0  con    0  1.0D+00  9.2D-01  4.494D+02  3.485D+05
   42   43     0     0  con    0  1.0D+00  2.6D+00  4.668D+02  3.481D+05
   43   44     0     0  con    0  1.0D+00  1.1D+00  3.665D+02  3.479D+05
   44   45     0     0  con    0  1.0D+00  2.4D+00  3.734D+02  3.475D+05
   45   46     0     0  con    0  1.0D+00  2.1D+00  4.052D+02  3.472D+05
   46   47     0     0  con    0  1.0D+00  2.7D+00  3.630D+02  3.469D+05
   47   48     0     0  con    0  1.0D+00  1.9D+00  3.088D+02  3.466D+05
   48   49     0     0  con    0  1.0D+00  1.6D+00  4.551D+02  3.462D+05
   49   50     0     0  con    0  1.0D+00  1.0D+00  3.520D+02  3.459D+05
   50   51     0     0  con    0  1.0D+00  8.0D-01  5.445D+02  3.456D+05
   51   52     0     0  con    0  1.0D+00  1.2D+00  4.489D+02  3.452D+05
   52   53     0     0  con    0  1.0D+00  1.7D+00  3.839D+02  3.450D+05
   53   54     0     0  con    0  1.0D+00  2.8D+00  4.471D+02  3.446D+05
   54   55     0     0  con    0  1.0D+00  2.6D+00  4.229D+02  3.444D+05
   55   56     0     0  con    0  1.0D+00  1.1D+00  3.455D+02  3.442D+05
   56   57     0     0  con    0  1.0D+00  1.5D+00  4.837D+02  3.438D+05
   57   58     0     0  con    0  1.0D+00  1.1D+00  6.148D+02  3.436D+05
   58   59     0     0  con    0  1.0D+00  4.8D-01  4.142D+02  3.434D+05
   59   60     0     0  con    0  1.0D+00  1.0D+00  3.753D+02  3.431D+05
   60   61     0     0  con    0  1.0D+00  7.7D-01  3.896D+02  3.430D+05
   61   62     0     0  con    0  1.0D+00  2.4D+00  3.966D+02  3.427D+05
   62   63     0     0  con    0  1.0D+00  1.3D+00  3.913D+02  3.425D+05
   63   64     0     0  con    0  1.0D+00  5.0D-01  3.358D+02  3.423D+05
   64   65     0     0  con    0  1.0D+00  1.5D+00  5.264D+02  3.420D+05
   65   66     0     0  con    0  1.0D+00  1.3D+00  5.341D+02  3.419D+05
   66   67     0     0  con    0  1.0D+00  9.9D-01  4.614D+02  3.417D+05
   67   68     0     0  con    0  1.0D+00  2.9D+00  3.995D+02  3.414D+05
   68   69     0     0  con    0  1.0D+00  1.3D+00  3.754D+02  3.413D+05
   69   70     0     0  con    0  1.0D+00  1.4D+00  3.261D+02  3.411D+05
   70   71     0     0  con    0  1.0D+00  4.3D+00  4.323D+02  3.408D+05
   71   72     0     0  con    0  1.0D+00  3.6D+00  4.847D+02  3.407D+05
   72   73     0     0  con    0  1.0D+00  1.7D-01  3.566D+02  3.406D+05
   73   74     0     0  con    0  1.0D+00  1.1D+00  2.879D+02  3.404D+05
   74   75     0     0  con    0  1.0D+00  2.1D+00  2.514D+02  3.402D+05
   75   76     0     0  con    0  1.0D+00  8.5D+00  4.649D+02  3.401D+05
   76   77     0     0  con    0  1.0D+00  2.6D+00  2.275D+02  3.399D+05
   77   78     0     0  con    0  1.0D+00  3.3D-01  2.679D+02  3.397D+05
   78   79     0     0  con    0  1.0D+00  1.3D+00  2.838D+02  3.396D+05
   79   80     0     0  con    0  1.0D+00  3.9D+00  4.847D+02  3.394D+05
   80   81     0     0  con    0  1.0D+00  4.2D+00  3.356D+02  3.392D+05
   81   82     0     0  con    0  1.0D+00  3.7D+00  2.282D+02  3.391D+05
   82   83     0     0  con    0  1.0D+00  2.8D+00  2.729D+02  3.390D+05
   83   84     0     0  con    0  1.0D+00  4.5D+00  3.055D+02  3.388D+05
   84   85     0     0  con    0  1.0D+00  5.6D+00  5.704D+02  3.386D+05
   85   86     0     0  con    0  1.0D+00  7.7D-01  3.028D+02  3.385D+05
   86   87     0     0  con    0  1.0D+00  7.8D-01  2.721D+02  3.383D+05
   87   88     0     0  con    0  1.0D+00  1.2D+00  2.593D+02  3.382D+05
   88   89     0     0  con    0  1.0D+00  4.9D+00  5.180D+02  3.380D+05
   89   90     0     0  con    0  1.0D+00  4.8D+00  3.010D+02  3.379D+05
   90   91     0     0  con    0  1.0D+00  1.2D+00  2.116D+02  3.377D+05
   91   92     0     0  con    0  1.0D+00  3.8D+00  3.698D+02  3.376D+05
   92   93     0     0  con    0  1.0D+00  3.4D+00  4.131D+02  3.375D+05
   93   94     0     0  con    0  1.0D+00  1.6D+00  2.626D+02  3.373D+05
   94   95     0     0  con    0  1.0D+00  4.4D+00  2.698D+02  3.371D+05
   95   96     0     0  con    0  1.0D+00  2.5D+00  2.460D+02  3.370D+05
   96   97     0     0  con    0  1.0D+00  5.3D+00  2.364D+02  3.369D+05
   97   98     0     0  con    0  1.0D+00  4.5D+00  4.158D+02  3.368D+05
   98   99     0     0  con    0  1.0D+00  1.7D+00  2.469D+02  3.367D+05
   99  100     0     0  con    0  1.0D+00  2.4D+00  2.723D+02  3.365D+05
  100  101     0     0  con    0  1.0D+00  2.1D+00  2.549D+02  3.364D+05
  101  102     0     0  con    0  1.0D+00  5.0D+00  1.647D+02  3.363D+05
  102  103     0     0  con    0  1.0D+00  6.6D+00  2.325D+02  3.362D+05

STOP: TOTAL NO. of ITERATIONS EXCEEDS LIMIT                 

 Total User time 0.000E+00 seconds.

